День,"Температура,°C","Давление,(мм.рт.ст)",Направление ветра,Скорость ветра(м/с)
1,+31,749,З,3
2,+18,755,С,3
3,+20,760,СВ,3
4,+20,758,В,2
5,+21,756,В,2
6,+21,756,В,2
7,+25,756,З,2
8,+27,754,З,2
9,+12,747,В,2
10,+17,749,З,1
11,+18,746,З,2
12,+17,754,СЗ,1
13,+19,756,З,2
14,+13,746,З,2
15,+15,744,СЗ,2
16,+11,747,СЗ,4
17,+15,752,СЗ,2
18,+20,746,Ю,2
19,+11,737,С,1
20,+10,740,З,4
21,+11,747,З,3
22,+16,748,З,4
23,+19,749,СЗ,4
24,+18,756,ЮВ,1
25,+19,759,В,2
26,+19,761,ЮВ,1
27,+19,764,ЮВ,1
28,+18,764,З,1
29,+20,762,В,1
30,+21,761,ЮВ,1
